name,position,team,GW,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,bonus,goals_conceded,yellow_cards,red_cards,own_goals,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,team_standing,sched_strength,5_gw_fpl_pts
Carlos Ribeiro Dias,MID,Nott'm Forest,5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,0.0
Carney Chukwuemeka,MID,Chelsea,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,15.0,0.3333333333333333
Charlie Goode,DEF,Brentford,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,9.0,0.0
Che Adams,FWD,Southampton,5,60.2,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2.75
Cheick Doucouré,MID,Crystal Palace,5,84.4,0.0,0.2,0.0,0.0,0.0,0.0,0.4,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.666666666666666,2.0
Cheikhou Kouyaté,MID,Nott'm Forest,5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.75,2.75
Chem Campbell,MID,Wolves,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,8.75,0.75
Chris Mepham,DEF,Bournemouth,5,88.2,0.0,0.0,0.4,0.0,0.0,0.0,0.8,3.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,12.2,14.5,2.75
Chris Richards,DEF,Crystal Palace,5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.666666666666666,0.0
Chris Wood,FWD,Newcastle,5,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,12.0,0.75
Christian Benteke,FWD,Crystal Palace,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,9.666666666666666,0.0
Christian Eriksen,MID,Man Utd,5,88.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.666666666666667,3.6666666666666665
